trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.995}",20,0,-74.58932281712936,"{0: 9, 1: 6, 2: 4, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.99}",20,0,-152.6185348986795,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.985}",25,0,-124.73393424366587,"{0: 15, 1: 2, 2: 5, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.98}",20,0,-82.21060059908146,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.975}",25,4,-33.84692295415178,"{0: 15, 1: 2, 2: 4, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.97}",35,0,-149.49323802855375,"{0: 20, 1: 5, 2: 7, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.965}",30,0,-114.11258191061148,"{0: 17, 1: 2, 2: 10, 3: 1, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.96}",30,0,-127.86127944915211,"{0: 18, 1: 5, 2: 4, 3: 2, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.955}",25,0,-98.25466152883425,"{0: 17, 1: 0, 2: 6, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.95}",30,0,-95.93926719908143,"{0: 18, 1: 6, 2: 5, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.945}",20,0,-93.18158549486121,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.94}",20,0,-116.73881342408534,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.9349999999999999}",20,2,-139.90803296459862,"{0: 9, 1: 3, 2: 2, 3: 2, 4: 2}",1
14,False,"{'a': 0.5, 'e': 0.9299999999999999}",25,3,-54.41189872178031,"{0: 16, 1: 1, 2: 3, 3: 2, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.9249999999999999}",20,0,-58.278726554987344,"{0: 13, 1: 3, 2: 2, 3: 2, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.9199999999999999}",25,0,-157.25950999596515,"{0: 15, 1: 1, 2: 5, 3: 2, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.9149999999999999}",30,11,-143.1002001576818,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 3}",1
18,False,"{'a': 0.5, 'e': 0.9099999999999999}",25,0,-151.2119244805651,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
19,False,"{'a': 0.5, 'e': 0.9049999999999999}",20,0,-111.45207659361867,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-118.25243890119957,"{0: 11, 1: 0, 2: 7, 3: 1, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.8949999999999999}",20,0,-108.25231902126075,"{0: 9, 1: 5, 2: 5, 3: 0, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.8899999999999999}",20,0,-144.331042090957,"{0: 13, 1: 3, 2: 0, 3: 1, 4: 3}",0
23,False,"{'a': 0.5, 'e': 0.8849999999999999}",30,0,-60.55084682071409,"{0: 24, 1: 2, 2: 2, 3: 1, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.8799999999999999}",20,2,-155.13517686579206,"{0: 10, 1: 2, 2: 2, 3: 1, 4: 3}",1
25,False,"{'a': 0.5, 'e': 0.8749999999999999}",20,5,-63.84987414171921,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 1}",1
26,False,"{'a': 0.5, 'e': 0.8699999999999999}",25,0,-128.8088628460348,"{0: 17, 1: 4, 2: 1, 3: 0, 4: 3}",0
27,False,"{'a': 0.5, 'e': 0.8649999999999999}",25,5,-99.36974611690103,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",1
28,False,"{'a': 0.5, 'e': 0.8599999999999999}",20,0,-130.20215761089864,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
29,False,"{'a': 0.5, 'e': 0.8549999999999999}",20,0,-169.20733936036808,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
30,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-55.99169375164365,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
31,False,"{'a': 0.5, 'e': 0.8449999999999999}",20,0,-156.3648145304786,"{0: 9, 1: 2, 2: 7, 3: 0, 4: 2}",0
32,False,"{'a': 0.5, 'e': 0.8399999999999999}",20,9,-64.31708286298148,"{0: 6, 1: 1, 2: 3, 3: 0, 4: 1}",1
33,False,"{'a': 0.5, 'e': 0.8349999999999999}",20,0,-0.8731610677620738,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
34,False,"{'a': 0.5, 'e': 0.8299999999999998}",35,0,-204.2573597556979,"{0: 24, 1: 1, 2: 5, 3: 1, 4: 4}",0
35,False,"{'a': 0.5, 'e': 0.8249999999999998}",30,3,-108.09027341517009,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 2}",1
36,False,"{'a': 0.5, 'e': 0.8199999999999998}",20,0,3.9590238477325936,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
37,False,"{'a': 0.5, 'e': 0.8149999999999998}",20,0,-204.79534678263693,"{0: 12, 1: 0, 2: 2, 3: 2, 4: 4}",0
38,False,"{'a': 0.5, 'e': 0.8099999999999998}",20,0,-111.74732760795926,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
