trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-175.426374283755,"{0: 15, 1: 3, 2: 2, 3: 2, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-112.35095100956389,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-96.43945836780327,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-190.8635567693315,"{0: 12, 1: 6, 2: 3, 3: 1, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-103.85178787429595,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-45.54751366681886,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-158.2006277124282,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",35,0,-220.08454585165336,"{0: 18, 1: 5, 2: 8, 3: 1, 4: 3}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-90.40174156182812,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-118.63210920906197,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-224.10595676307074,"{0: 13, 1: 3, 2: 4, 3: 1, 4: 4}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-108.0468701060527,"{0: 17, 1: 1, 2: 4, 3: 2, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-134.07134593658148,"{0: 9, 1: 3, 2: 5, 3: 2, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-149.287944723306,"{0: 8, 1: 2, 2: 7, 3: 2, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-138.29029062376705,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,11,-40.12170804425526,"{0: 4, 1: 1, 2: 4, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 1.0}",25,11,-42.58536359951061,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-68.52929645165797,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-146.85826707033905,"{0: 8, 1: 1, 2: 9, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-54.64632177457464,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",1
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-114.88807047185514,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-117.10085813817332,"{0: 10, 1: 3, 2: 3, 3: 4, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-40.11186998014272,"{0: 17, 1: 5, 2: 3, 3: 0, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-89.2747711466245,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-124.17754125528499,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-112.88815379948502,"{0: 16, 1: 1, 2: 5, 3: 2, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-53.485347215789275,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-131.44567669953574,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",30,0,-240.8664133017672,"{0: 17, 1: 0, 2: 8, 3: 1, 4: 4}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-80.78719803051337,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
